classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,168892,6412,MALHEIROS I,,R  W4,"R W4  C-1 , BAIRRO JD ITAIPÚ",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,254928,272,MALIBU,,AV RIO BRANCO,"AV RIO BRANCO CASA02 , BAIRRO S JAÓ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,140726,2035,MARCELINO 10,,R  RY10,"R RY10  CASA 02 , BAIRRO JD SÃO JOSÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,138816,7084,MARCIENE GV-13,,R  IRMA CIBELE DE AQUINO SALES,"R IRMA CIBELE DE AQUINO SALES  CASA 01 , BAIRRO RES MONTE PASCOAL",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,152723,12443,MARCIO ALMEIDA V,,R  ALUISIO ALVARENGA,"R ALUISIO ALVARENGA  CASA 01 , BAIRRO RES SANTA FÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,248456,10575,MARCOS DE ARAUJO,,R  BAURU,"R BAURU CASA 01 , BAIRRO S URIAS MAGALHÃES",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,275150,2121,MAR DEL PLATA,,R  MP3,"R MP3 CASA02 , BAIRRO RES MAR DEL PLATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,352804,5435,MARIA DAVINA DA SILVA PAULA,,AV LIBERDADE,"R 8 SALA 01 , BAIRRO CJ RIVIERA",6,6,6,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,196134,1754,MARIA DIVINA,,AV DE CONTORNO SUL,"AV DE CONTORNO SUL  CASA 01 , BAIRRO PRQ ANHANGÜERA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,221163,1130,MARIA FLOR IV,,R  MDV1,"R MDV1  CASA 01 , BAIRRO LOT MOINHO DOS VENTOS",4,4,4,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,169688,1559,MARIA FLOR VII,,R  RI2,"R RI2  CASA 01 , BAIRRO RES ITAIPÚ",4,4,4,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,205235,6146,MARIA IRANETE,,AV NADRA BUFAICAL,"AV NADRA BUFAICAL  CASA 01 , BAIRRO LOT FAIÇALVILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,321185,1812,MARIA LAURENCIA,,R  YUCATAN,"R YUCATAN CASA 02 , BAIRRO JD NOVO MUNDO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,173384,5710,MARIA LIRA I,,R  RI10,"R RI10  CASA 01 , BAIRRO RES ITAIPÚ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,207424,1739,MARIA LUISA I,,AL BERNARDO GUIMARAES,"AL BERNARDO GUIMARAES  CASA 01 , BAIRRO LOT FAIÇALVILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,198127,1531,MARIA MADALENA PEREIRA I,,R  MMM1,"R MMM1  CASA 01 , BAIRRO S TRÊS MARIAS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,3259,1851,MARIANA DE CASTRO 2,,R  ITAUCU,"R ITAUCU LT 19 CASA 02 , BAIRRO VL SANTA RITA ACRÉSCIMO",4,4,4,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,377132,740,MARLENE,,AV TOCANTINS,"AV TOCANTINS 1260 AP 101 , BAIRRO S AEROPORTO",8,8,8,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,157295,1308,MARLON DE OLIVEIRA,,R  SRM9,"R SRM9  CASA 01 , BAIRRO RES VILLAGE SANTA RITA III",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,263625,6999,MARQUES ANTONIO PS-3,,R  PS3,"R PS3 CASA 01 , BAIRRO RES SENADOR PARANHOS",2,2,2,1,1
