classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
REVISAO_CODIGO_MULTILOTE,goiania,86672,3126,RES GONCALVES MORAES,,R  HUDSON REIS,"R HUDSON REIS CASA 1 , BAIRRO S MAYSA EXTENSÃO",4,16,4,2,1
REVISAO_CODIGO_MULTILOTE,goiania,243560,3126,RES GONCALVES MORAES,,R  HUDSON REIS,"R 139 377     LOJA 2 , BAIRRO S MARISTA",12,16,12,2,1
REVISAO_CODIGO_MULTILOTE,goiania,84598,2303,RES GONTIJO DE ANDRADE,,R  MANUEL SILVA,"R MANUEL SILVA SOB 01 , BAIRRO VL REGINA",2,113,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,375924,2303,RES GONTIJO DE ANDRADE,RESIDENCIAL ILHA DA MADEIRA,R  MANUEL SILVA,"R 10A S/N AP-102 , BAIRRO S AEROPORTO",111,113,111,2,1
REVISAO_CODIGO_MULTILOTE,goiania,59436,4586,RES GOYAZ,,R  LONGITUDINAL,"R JOAQUIM LUCIO LT 21 CS 01 , BAIRRO RES BARRAVENTO",3,67,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,353888,4586,RES GOYAZ,RESIDENCIAL GOYAZ I,R  LONGITUDINAL,"R LONGITUDINAL APT09 , BAIRRO S LESTE VILA NOVA",64,67,64,2,1
REVISAO_CODIGO_MULTILOTE,goiania,159795,4228,RES GRACIEL D OLIVEIRA V,,R  COLOMBINO DE BASTOS,"R COLOMBINO DE BASTOS  CASA 01 , BAIRRO RES SANTA FÉ",2,169,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,212585,4228,RES GRACIEL D OLIVEIRA V,RESIDENCIAL PORTAL DAS FLORES,R  COLOMBINO DE BASTOS,"R DOS LIRIOS  BOX85 , BAIRRO PRQ OESTE INDUSTRIAL",167,169,167,2,1
REVISAO_CODIGO_MULTILOTE,goiania,132914,2998,RES GRACIEL D OLIVEIRA XVI,,R  ERNESTO TEODORO DE MORAIS,"R MONS PRIMO VIEIRA  CASA 01 , BAIRRO JD SÃO JOSÉ",1,3,2,2,2
REVISAO_CODIGO_MULTILOTE,goiania,152739,2998,RES GRACIEL D OLIVEIRA XVI,,R  ERNESTO TEODORO DE MORAIS,"R ERNESTO TEODORO DE MORAIS  CASA 02 , BAIRRO RES SANTA FÉ",2,3,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,145488,4264,RES GRANDASO,,AV VIRGILIO JOAQUIM FERREIRA,"R C137 SN      CASA-03 , BAIRRO BRO JARDIM AMÉRICA",3,362,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,319522,4264,RES GRANDASO,RESIDENCIAL GRANDASO,AV VIRGILIO JOAQUIM FERREIRA,"AV VIRGILIO JOAQUIM FERREIRA APT101A , BAIRRO RES PARQUE FLAMBOYANT",359,362,359,2,1
REVISAO_CODIGO_MULTILOTE,goiania,11243,3958,RES GRAND VIEW,RESIDENCIAL GRAND VIEW,AV C16,"AV C16  APT101BOX01 , BAIRRO S SUDOESTE",7,9,7,2,1
